threshold,tp,fp,fn,tn,precision,recall,fraud_missed_cost,review_cost,total_cost
0.01,123,70888,0,191,0.0017321260086465477,1.0,0.0,354440.0,354440.0
0.02,123,69540,0,1539,0.00176564316782223,1.0,0.0,347700.0,347700.0
0.03,123,66758,0,4321,0.0018390873342204813,1.0,0.0,333790.0,333790.0
0.04,123,63342,0,7737,0.0019380761049397305,1.0,0.0,316710.0,316710.0
0.05,122,59425,1,11654,0.0020488017868238533,0.991869918699187,100.0,297125.0,297225.0
0.060000000000000005,122,55219,1,15860,0.0022045138324208093,0.991869918699187,100.0,276095.0,276195.0
0.06999999999999999,122,50976,1,20103,0.002387568985087479,0.991869918699187,100.0,254880.0,254980.0
0.08,122,46734,1,24345,0.0026037220420010243,0.991869918699187,100.0,233670.0,233770.0
0.09,121,42652,2,28427,0.002828887382227106,0.983739837398374,200.0,213260.0,213460.0
0.09999999999999999,119,38969,4,32110,0.0030444126074498567,0.967479674796748,400.0,194845.0,195245.0
0.11,119,35522,4,35557,0.0033388513229146207,0.967479674796748,400.0,177610.0,178010.0
0.12,119,32199,4,38880,0.0036821585494151866,0.967479674796748,400.0,160995.0,161395.0
0.13,118,28943,5,42136,0.004060424624066619,0.959349593495935,500.0,144715.0,145215.0
0.14,118,25953,5,45126,0.004526101798933681,0.959349593495935,500.0,129765.0,130265.0
0.15000000000000002,117,23171,6,47908,0.005024046719340433,0.9512195121951219,600.0,115855.0,116455.0
0.16,116,20510,7,50569,0.005623969746921361,0.943089430894309,700.0,102550.0,103250.0
0.17,114,18157,9,52922,0.006239395763778665,0.926829268292683,900.0,90785.0,91685.0
0.18000000000000002,114,16052,9,55027,0.00705183718916244,0.926829268292683,900.0,80260.0,81160.0
0.19,113,14211,10,56868,0.007888857860932701,0.9186991869918699,1000.0,71055.0,72055.0
0.2,110,12635,13,58444,0.008630835621812475,0.8943089430894309,1300.0,63175.0,64475.0
0.21000000000000002,110,11278,13,59801,0.00965929048120829,0.8943089430894309,1300.0,56390.0,57690.0
0.22,110,10057,13,61022,0.010819317399429526,0.8943089430894309,1300.0,50285.0,51585.0
0.23,110,9008,13,62071,0.012064049133581925,0.8943089430894309,1300.0,45040.0,46340.0
0.24000000000000002,109,8120,14,62959,0.013245837890387654,0.8861788617886179,1400.0,40600.0,42000.0
0.25,108,7275,15,63804,0.014628199918732222,0.8780487804878049,1500.0,36375.0,37875.0
0.26,107,6570,16,64509,0.016025161000449303,0.8699186991869918,1600.0,32850.0,34450.0
0.27,107,5954,16,65125,0.017653852499587525,0.8699186991869918,1600.0,29770.0,31370.0
0.28,106,5432,17,65647,0.019140483929216325,0.8617886178861789,1700.0,27160.0,28860.0
0.29000000000000004,106,4928,17,66151,0.021056813667063964,0.8617886178861789,1700.0,24640.0,26340.0
0.3,106,4519,17,66560,0.02291891891891892,0.8617886178861789,1700.0,22595.0,24295.0
0.31,104,4125,19,66954,0.024592102151808938,0.8455284552845529,1900.0,20625.0,22525.0
0.32,103,3771,20,67308,0.026587506453278266,0.8373983739837398,2000.0,18855.0,20855.0
0.33,101,3477,22,67602,0.028228060368921185,0.8211382113821138,2200.0,17385.0,19585.0
0.34,101,3233,22,67846,0.030293941211757647,0.8211382113821138,2200.0,16165.0,18365.0
0.35000000000000003,100,3005,23,68074,0.0322061191626409,0.8130081300813008,2300.0,15025.0,17325.0
0.36000000000000004,100,2779,23,68300,0.03473428273706148,0.8130081300813008,2300.0,13895.0,16195.0
0.37,100,2589,23,68490,0.03718854592785422,0.8130081300813008,2300.0,12945.0,15245.0
0.38,100,2429,23,68650,0.039541320680110716,0.8130081300813008,2300.0,12145.0,14445.0
0.39,96,2263,27,68816,0.040695209834675714,0.7804878048780488,2700.0,11315.0,14015.0
