threshold,tp,fp,fn,tn,precision,recall,fraud_missed_cost,review_cost,total_cost
0.01,122,47436,1,23643,0.0025652887001135455,0.991869918699187,100.0,237180.0,237280.0
0.02,122,36848,1,34231,0.003299972951041385,0.991869918699187,100.0,184240.0,184340.0
0.03,121,29906,2,41173,0.004029706597395677,0.983739837398374,200.0,149530.0,149730.0
0.04,119,25057,4,46022,0.004726723863997458,0.967479674796748,400.0,125285.0,125685.0
0.05,119,21600,4,49479,0.0054790736221741335,0.967479674796748,400.0,108000.0,108400.0
0.060000000000000005,118,19035,5,52044,0.006160914739205346,0.959349593495935,500.0,95175.0,95675.0
0.06999999999999999,117,17050,6,54029,0.006815401642686549,0.9512195121951219,600.0,85250.0,85850.0
0.08,117,15427,6,55652,0.007527020072053525,0.9512195121951219,600.0,77135.0,77735.0
0.09,117,14040,6,57039,0.008264462809917356,0.9512195121951219,600.0,70200.0,70800.0
0.09999999999999999,117,12886,6,58193,0.008997923556102438,0.9512195121951219,600.0,64430.0,65030.0
0.11,117,11828,6,59251,0.009794893260778568,0.9512195121951219,600.0,59140.0,59740.0
0.12,115,10917,8,60162,0.01042422044960116,0.9349593495934959,800.0,54585.0,55385.0
0.13,115,10114,8,60965,0.011242545703392316,0.9349593495934959,800.0,50570.0,51370.0
0.14,115,9433,8,61646,0.012044407205697528,0.9349593495934959,800.0,47165.0,47965.0
0.15000000000000002,115,8828,8,62251,0.012859219501285922,0.9349593495934959,800.0,44140.0,44940.0
0.16,114,8301,9,62778,0.013547237076648842,0.926829268292683,900.0,41505.0,42405.0
0.17,114,7776,9,63303,0.014448669201520912,0.926829268292683,900.0,38880.0,39780.0
0.18000000000000002,114,7285,9,63794,0.015407487498310583,0.926829268292683,900.0,36425.0,37325.0
0.19,114,6839,9,64240,0.016395800373939305,0.926829268292683,900.0,34195.0,35095.0
0.2,114,6447,9,64632,0.017375400091449476,0.926829268292683,900.0,32235.0,33135.0
0.21000000000000002,113,6062,10,65017,0.018299595141700403,0.9186991869918699,1000.0,30310.0,31310.0
0.22,113,5705,10,65374,0.019422481952561018,0.9186991869918699,1000.0,28525.0,29525.0
0.23,112,5369,11,65710,0.020434227330779056,0.9105691056910569,1100.0,26845.0,27945.0
0.24000000000000002,112,5068,11,66011,0.021621621621621623,0.9105691056910569,1100.0,25340.0,26440.0
0.25,112,4783,11,66296,0.022880490296220635,0.9105691056910569,1100.0,23915.0,25015.0
0.26,112,4543,11,66536,0.02406015037593985,0.9105691056910569,1100.0,22715.0,23815.0
0.27,112,4318,11,66761,0.02528216704288939,0.9105691056910569,1100.0,21590.0,22690.0
0.28,112,4133,11,66946,0.026383981154299175,0.9105691056910569,1100.0,20665.0,21765.0
0.29000000000000004,111,3925,12,67154,0.027502477700693757,0.9024390243902439,1200.0,19625.0,20825.0
0.3,111,3747,12,67332,0.028771384136858476,0.9024390243902439,1200.0,18735.0,19935.0
0.31,111,3571,12,67508,0.030146659424225963,0.9024390243902439,1200.0,17855.0,19055.0
0.32,111,3411,12,67668,0.03151618398637138,0.9024390243902439,1200.0,17055.0,18255.0
0.33,111,3256,12,67823,0.03296703296703297,0.9024390243902439,1200.0,16280.0,17480.0
0.34,111,3117,12,67962,0.03438661710037175,0.9024390243902439,1200.0,15585.0,16785.0
0.35000000000000003,111,2980,12,68099,0.03591070850857328,0.9024390243902439,1200.0,14900.0,16100.0
0.36000000000000004,110,2865,13,68214,0.03697478991596639,0.8943089430894309,1300.0,14325.0,15625.0
0.37,110,2742,13,68337,0.038569424964936885,0.8943089430894309,1300.0,13710.0,15010.0
0.38,110,2627,13,68452,0.0401899890390939,0.8943089430894309,1300.0,13135.0,14435.0
0.39,110,2519,13,68560,0.04184100418410042,0.8943089430894309,1300.0,12595.0,13895.0
0.4,109,2410,14,68669,0.04327113934100834,0.8861788617886179,1400.0,12050.0,13450.0
0.41000000000000003,109,2313,14,68766,0.04500412881915772,0.8861788617886179,1400.0,11565.0,12965.0
0.42000000000000004,109,2220,14,68859,0.04680120223271791,0.8861788617886179,1400.0,11100.0,12500.0
0.43,109,2135,14,68944,0.04857397504456328,0.8861788617886179,1400.0,10675.0,12075.0
0.44,109,2074,14,69005,0.04993128721942281,0.8861788617886179,1400.0,10370.0,11770.0
0.45,109,1993,14,69086,0.051855375832540435,0.8861788617886179,1400.0,9965.0,11365.0
